BHID	UTM_East	UTM_North	UTM_RL	Max_Depth	Azimuth	Dip	Prospect	Hole_Status	Hole_Type	UTM_Grid_ID
PDH-35	388528.046	62027.81	559.9000244	190.6999969	120.7333323	-62.51666578	Pani	Completed	DDH	WGS84_51
PDH-36	388505.057	61987.94	586.2999878	201.1999969	123.0000013	-62.46666527	Pani	Completed	DDH	WGS84_51
PDH-37	388635.794	62008.37	524.2000122	246.6999969	122.8428574	-75.48571559	Pani	Completed	DDH	WGS84_51
PDH-38	388617.664	61977.83	524.2000122	153	179.3399963	-89.33999939	Pani	Completed	DDH	WGS84_51
PDH-39	388637.863	61915.13	509.7000122	150	127.2800003	-62.01999969	Pani	Completed	DDH	WGS84_51
PDH-40	388570.611	62057.26	564.2000122	70.4000015	122.3666662	-46.5333341	Pani	Completed	DDH	WGS84_51
PDH-40A	388570.611	62057.26	564.2000122	192.3999939	119.9000003	-66.73333232	Pani	Completed	DDH	WGS84_51
PDH-41	388694.967	61848.78	528.2999878	156.3999939	121.1800003	-61.42000046	Pani	Completed	DDH	WGS84_51
PDH-42	388473.313	61941.78	610.7999878	209.6999969	121.2800003	-67.95999908	Pani	Completed	DDH	WGS84_51
PDH-43	388651.408	61841.35	555	215	118.100001	-69.56666692	Pani	Completed	DDH	WGS84_51
PDH-44	388494.509	61911.19	652	290	119.2142857	-67.38571385	Pani	Completed	DDH	WGS84_51
PDH-45	388604.377	61861.77	558.9000244	202.5	121.3800003	-74.95999908	Pani	Completed	DDH	WGS84_51
PDH-46	388664.824	61952.74	489.1000061	186	122.5000015	-64.68000031	Pani	Completed	DDH	WGS84_51
PDH-47	388389.302	62001.82	600	244.8000031	120.9000006	-61.56249952	Pani	Completed	DDH	WGS84_51
PDH-48	388710.959	62029.47	491.6000061	163.3999939	121.4400009	-65.76000061	Pani	Completed	DDH	WGS84_51
PDH-49	388682.986	61999.04	498.2999878	173	121.8800018	-67.1	Pani	Completed	DDH	WGS84_51
PDH-50	388449.256	61906	631.9000244	291.5	123.3999996	-66.52500153	Pani	Completed	DDH	WGS84_51
PDH-51	388743.975	62074.32	490.3999939	112.3000031	122.125	-65.82500076	Pani	Completed	DDH	WGS84_51
PDH-52	388760.794	62119.92	487.7999878	121.5999985	125.3500004	-65.57500076	Pani	Completed	DDH	WGS84_51
PDH-53	388786.046	62163.35	468.1000061	142.5	123.4800018	-66.40000153	Pani	Completed	DDH	WGS84_51
PDH-54	388489.997	61880.42	659.0999756	298.2000122	117.0500002	-67.75000095	Pani	Completed	DDH	WGS84_51
PDH-55	388822.63	62201.17	440.6000061	106.5	119.0499992	-66.47499847	Pani	Completed	DDH	WGS84_51
PDH-55A	388822.63	62201.17	440.6000061	189	122.0666656	-66.83333333	Pani	Completed	DDH	WGS84_51
PDH-56	388774.177	62222.71	470.8999939	148.8000031	121.1499996	-66.47500038	Pani	Completed	DDH	WGS84_51
PDH-57	388843.752	62239.92	419.7999878	133.8999939	123.1199997	-65.13999939	Pani	Completed	DDH	WGS84_51
PDH-58	388680.595	62282.01	508.1000061	198.3999939	122.1166674	-65.9666659	Pani	Completed	DDH	WGS84_51
PDH-59	388460.3	61844.14	670.5	363.2000122	120.9142859	-68.0142855	Pani	Completed	DDH	WGS84_51
PDH-60	388561.943	61832.18	603.7999878	225.5	122.2833328	-66.13333384	Pani	Completed	DDH	WGS84_51
PDH-61	388427.462	61867.16	658.0999756	359.1000061	123.812499	-68.02500057	Pani	Completed	DDH	WGS84_51
PDH-62	388498.755	61822.29	647.0999756	235.1999969	121.5499992	-68.2166659	Pani	Completed	DDH	WGS84_51
PDH-63	388325.944	61925.4	667.5999756	314.2000122	122.8428574	-68.11428615	Pani	Completed	DDH	WGS84_51
PDH-64	388590.177	61751.68	620.5999756	277.3999939	122.4714279	-66.39999935	Pani	Completed	DDH	WGS84_51
PDH-65	388607.544	61798.53	606.0999756	249.8999939	122.4333331	-65.15000025	Pani	Completed	DDH	WGS84_51
PDH-66	388344.474	61962.77	639.2999878	303.6000061	122.3166669	-66.01666641	Pani	Completed	DDH	WGS84_51
PDH-67	388734.875	61815.4	550.2999878	204.8999939	127.2399979	-67.46199951	Pani	Completed	DDH	WGS84_51
PDH-68	388704.857	61915.04	488.3999939	165.6000061	121.7400009	-64.18000031	Pani	Completed	DDH	WGS84_51
PDH-69	388340.928	62030.44	617.5	281.6000061	119.2857143	-72.09999956	Pani	Completed	DDH	WGS84_51
PDH-70	388708.797	61952.83	474.6000061	151	123.7	-58.7	Pani	Completed	DDH	WGS84_51
PDH-71	388371.209	62062.89	608.7999878	282.3999939	117.0285721	-86.30000087	Pani	Completed	DDH	WGS84_51
PDH-72	388775.655	61995.67	460.2000122	128.8999939	122.4500008	-65.94999886	Pani	Completed	DDH	WGS84_51
PDH-73	388813.028	62031.71	448.6000061	129.5	122.6749992	-67.14999962	Pani	Completed	DDH	WGS84_51
PDH-74	388816.838	62077.45	446.7000122	104.3000031	125.2500019	-67.22499847	Pani	Completed	DDH	WGS84_51
PDH-75	388349.708	62133.36	621.9000244	314.3999939	123.5499992	-83.75	Pani	Completed	DDH	WGS84_51
PDH-76	388834.544	62121.63	440.5	111.6999969	126.625	-66.625	Pani	Completed	DDH	WGS84_51
PDH-77	388392.573	62163.38	587.5999756	323	87.07499933	-89.42500019	Pani	Completed	DDH	WGS84_51
PDH-78	388876.323	62165.75	426.1000061	128.6000061	123.4666672	-66.1333313	Pani	Completed	DDH	WGS84_51
PDH-79	388344.735	62093.41	622.5999756	353	230.4250011	-89.63750172	Pani	Completed	DDH	WGS84_51
PDH-80	388881.512	62228.85	423.1000061	174.3000031	122.4799988	-67.39999847	Pani	Completed	DDH	WGS84_51
PDH-81	388920.97	62256.29	426.7999878	166.1999969	121.4250011	-67.25000191	Pani	Completed	DDH	WGS84_51
PDH-82	388887.044	62284.32	415	166.5	118.9399994	-68.02000122	Pani	Completed	DDH	WGS84_51
PDH-83	388307.553	62062.66	653.4000244	329.8999939	117.312501	-81.32499981	Pani	Completed	DDH	WGS84_51
PDH-84	388831.76	62313.34	419.6000061	174.5	124.375	-66.72499847	Pani	Completed	DDH	WGS84_51
PDH-85	388901.557	62319.86	409.1000061	153	120.5333328	-66.19999949	Pani	Completed	DDH	WGS84_51
PDH-86	388940.713	62290.91	435.1000061	154.1000061	120.0749989	-68.79999924	Pani	Completed	DDH	WGS84_51
PDH-87	388311.365	62011.49	639.7000122	382.1000061	126.2111113	-68.80000051	Pani	Completed	DDH	WGS84_51
PDH-88	388949.798	62228.91	441.6000061	161.6999969	121.7	-67.92000122	Pani	Completed	DDH	WGS84_51
PDH-89	388932.828	62195.82	435.2000122	151.1999969	123.4	-67.61999969	Pani	Completed	DDH	WGS84_51
PDH-90	388746.124	62271.23	468	245.3000031	122.5333341	-66.16666667	Pani	Completed	DDH	WGS84_51
PDH-91	388855.333	62209.69	424.7999878	126.5	127.2000008	-67.27499962	Pani	Completed	DDH	WGS84_51
PDH-92	388752.634	62150.41	501.5	175	119.2799988	-89.44000092	Pani	Completed	DDH	WGS84_51
PDH-93	388785.64	62247.39	452.2000122	200	125.0999985	-69.07999878	Pani	Completed	DDH	WGS84_51
PDH-94	388275.838	61948.27	675.5	375.5	125.9888874	-68.03333367	Pani	Completed	DDH	WGS84_51
PDH-95	388724.522	62301.43	492.5	238.5	125.9285725	-66.75714329	Pani	Completed	DDH	WGS84_51
PDH-96	388773.912	62225.72	470.7000122	177.6999969	30.47999992	-61.08000031	Pani	Completed	DDH	WGS84_51
PDH-97	388354.711	61890.98	659.9000244	305.2000122	122.4857145	-67.11428615	Pani	Completed	DDH	WGS84_51
PDH-98	388785.923	62162.62	468	175.1000061	122.0000015	-60.94000015	Pani	Completed	DDH	WGS84_51
PDH-99	388637.938	61915.98	509.7000122	150.1999969	114.8249989	-60.09999943	Pani	Completed	DDH	WGS84_51
